#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Brugia malayi","Eukaryota;Animals;Roundworms","FR3","SAMEA3146321","PRJNA10729","GCA_000002995.5","Scaffold",87.1557,28.5,,"CAAKNF01",196,14388,"2019-05-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/995/GCA_000002995.5_B_malayi-4.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/995/GCF_000002995.4_B_malayi-4.0"
"Aedes aegypti","Eukaryota;Animals;Insects","LVP_AGWG","SAMN07177802","PRJNA392114","GCA_002204515.1"," Chromosome",1278.73,38.1667,"chromosome 1:NC_035107.1/CM008043.1; chromosome 2:NC_035108.1/CM008044.1; chromosome 3:NC_035109.1/CM008045.1; mitochondrion MT:NC_035159.1/MF194022.1","NIGP01",2310,28317,"2017-06-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/204/515/GCA_002204515.1_AaegL5.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/204/515/GCF_002204515.2_AaegL5.0"
"Aedes albopictus","Eukaryota;Animals;Insects","FPA","SAMN11317331","PRJNA552090","GCA_006496715.1","Scaffold",2538.39,40.3999,"mitochondrion MT:NC_006817.1/","SWKY01",2197,40086,"2019-06-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/496/715/GCA_006496715.1_Aalbo_primary.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/496/715/GCF_006496715.1_Aalbo_primary.1"
"Anopheles gambiae str. PEST","Eukaryota;Animals;Insects","PEST","SAMN02952903","PRJNA1438","GCA_000005575.1"," Chromosome",265.027,44.5151,"chromosome X:NC_004818.2/CM000360.1; chromosome 2R:NT_078266.2/CM000357.1; chromosome 3R:NT_078268.4/CM000359.1; chromosome 2L:NT_078265.2/CM000356.1; chromosome 3L:NT_078267.5/CM000358.1; mitochondrion MT:NC_002084.1/","AAAB01",8145,14102,"2002-03-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/005/575/GCA_000005575.1_AgamP3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/575/GCF_000005575.2_AgamP3"
"Drosophila melanogaster","Eukaryota;Animals;Insects","","SAMN02803731","PRJNA13669","GCA_000001215.4"," Chromosome",143.726,42.0803,"chromosome X:NC_004354.4/AE014298.5; chromosome 2L:NT_033779.5/AE014134.6; chromosome 2R:NT_033778.4/AE013599.5; chromosome 3L:NT_037436.4/AE014296.5; chromosome 3R:NT_033777.3/AE014297.3; chromosome 4:NC_004353.4/AE014135.4; chromosome Y:NC_024512.1/CP007106.1; mitochondrion MT:NC_024511.2/KJ947872.2",,1870,30717,"2002-04-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/215/GCA_000001215.4_Release_6_plus_ISO1_MT","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/215/GCF_000001215.4_Release_6_plus_ISO1_MT"
"Apis mellifera","Eukaryota;Animals;Insects","DH4","SAMN09259743","PRJNA477511","GCA_003254395.2"," Chromosome",225.251,32.6352,"linkage group LG1:NC_037638.1/CM009931.2; linkage group LG2:NC_037639.1/CM009932.2; linkage group LG3:NC_037640.1/CM009933.2; linkage group LG4:NC_037641.1/CM009934.2; linkage group LG5:NC_037642.1/CM009935.2; linkage group LG6:NC_037643.1/CM009936.2; linkage group LG7:NC_037644.1/CM009937.2; linkage group LG8:NC_037645.1/CM009938.2; linkage group LG9:NC_037646.1/CM009939.2; linkage group LG10:NC_037647.1/CM009940.2; linkage group LG11:NC_037648.1/CM009941.2; linkage group LG12:NC_037649.1/CM009942.2; linkage group LG13:NC_037650.1/CM009943.2; linkage group LG14:NC_037651.1/CM009944.2; linkage group LG15:NC_037652.1/CM009945.2; linkage group LG16:NC_037653.1/CM009946.2; mitochondrion MT:NC_001566.1/CM009947.2","QIUM02",177,23471,"2018-06-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/254/395/GCA_003254395.2_Amel_HAv3.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/254/395/GCF_003254395.2_Amel_HAv3.1"
"Ciona intestinalis","Eukaryota;Animals;Other Animals","","","PRJDA65419","GCA_000224145.2"," Chromosome",115.227,36.0239,"chromosome 1:NC_020166.2/HT000001.2; chromosome 2:NC_020167.2/HT000007.2; chromosome 3:NC_020168.2/HT000008.2; chromosome 4:NC_020169.2/HT000009.2; chromosome 5:NC_020170.2/HT000010.2; chromosome 6:NC_020171.2/HT000011.2; chromosome 7:NC_020172.2/HT000012.2; chromosome 8:NC_020173.2/HT000013.2; chromosome 9:NC_020174.2/HT000014.2; chromosome 10:NC_020175.2/HT000002.2; chromosome 11:NC_020176.2/HT000003.2; chromosome 12:NC_020177.2/HT000004.2; chromosome 13:NC_020178.2/HT000005.2; chromosome 14:NC_020179.2/HT000006.2; mitochondrion MT:NC_017929.1/HT000188.1","EAAA01",1280,21099,"2011-04-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/224/145/GCA_000224145.2_KH","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/224/145/GCF_000224145.3_KH"
"Danio rerio","Eukaryota;Animals;Fishes","Tuebingen","SAMN06930106","PRJNA11776","GCA_000002035.4"," Chromosome",1679.2,36.6374,"chromosome 1:NC_007112.7/CM002885.2; chromosome 2:NC_007113.7/CM002886.2; chromosome 3:NC_007114.7/CM002887.2; chromosome 4:NC_007115.7/CM002888.2; chromosome 5:NC_007116.7/CM002889.2; chromosome 6:NC_007117.7/CM002890.2; chromosome 7:NC_007118.7/CM002891.2; chromosome 8:NC_007119.7/CM002892.2; chromosome 9:NC_007120.7/CM002893.2; chromosome 10:NC_007121.7/CM002894.2; chromosome 11:NC_007122.7/CM002895.2; chromosome 12:NC_007123.7/CM002896.2; chromosome 13:NC_007124.7/CM002897.2; chromosome 14:NC_007125.7/CM002898.2; chromosome 15:NC_007126.7/CM002899.2; chromosome 16:NC_007127.7/CM002900.2; chromosome 17:NC_007128.7/CM002901.2; chromosome 18:NC_007129.7/CM002902.2; chromosome 19:NC_007130.7/CM002903.2; chromosome 20:NC_007131.7/CM002904.2; chromosome 21:NC_007132.7/CM002905.2; chromosome 22:NC_007133.7/CM002906.2; chromosome 23:NC_007134.7/CM002907.2; chromosome 24:NC_007135.7/CM002908.2; chromosome 25:NC_007136.7/CM002909.2; mitochondrion MT:NC_002333.2/",,2848,57100,"2005-07-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/035/GCA_000002035.4_GRCz11","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/035/GCF_000002035.6_GRCz11"
"Homo sapiens","Eukaryota;Animals;Mammals","","SAMN03255769","PRJNA559484","GCA_009914755.4","Complete",3117.29,40.7378,"chromosome 1:CP068277.2; chromosome 2:CP068276.2; chromosome 3:CP068275.2; chromosome 4:CP068274.2; chromosome 5:CP068273.2; chromosome 6:CP068272.2; chromosome 7:CP068271.2; chromosome 8:CP068270.2; chromosome 9:CP068269.2; chromosome 10:CP068268.2; chromosome 11:CP068267.2; chromosome 12:CP068266.2; chromosome 13:CP068265.2; chromosome 14:CP068264.2; chromosome 15:CP068263.2; chromosome 16:CP068262.2; chromosome 17:CP068261.2; chromosome 18:CP068260.2; chromosome 19:CP068259.2; chromosome 20:CP068258.2; chromosome 21:CP068257.2; chromosome 22:CP068256.2; chromosome X:CP068255.2; chromosome Y:CP086569.2; mitochondrion MT:CP068254.1",,25,0,"2021-01-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/914/755/GCA_009914755.4_CHM13_T2T_v2.0",
"Mus musculus","Eukaryota;Animals;Mammals","C57BL/6J","","PRJNA11777","GCA_000001635.9"," Chromosome",2728.22,41.8825,"chromosome 1:NC_000067.7/CM000994.3; chromosome 2:NC_000068.8/CM000995.3; chromosome 3:NC_000069.7/CM000996.3; chromosome 4:NC_000070.7/CM000997.3; chromosome 5:NC_000071.7/CM000998.3; chromosome 6:NC_000072.7/CM000999.3; chromosome 7:NC_000073.7/CM001000.3; chromosome 8:NC_000074.7/CM001001.3; chromosome 9:NC_000075.7/CM001002.3; chromosome 10:NC_000076.7/CM001003.3; chromosome 11:NC_000077.7/CM001004.3; chromosome 12:NC_000078.7/CM001005.3; chromosome 13:NC_000079.7/CM001006.3; chromosome 14:NC_000080.7/CM001007.3; chromosome 15:NC_000081.7/CM001008.3; chromosome 16:NC_000082.7/CM001009.3; chromosome 17:NC_000083.7/CM001010.3; chromosome 18:NC_000084.7/CM001011.3; chromosome 19:NC_000085.7/CM001012.3; chromosome X:NC_000086.8/CM001013.3; chromosome Y:NC_000087.8/CM001014.3; mitochondrion MT:NC_005089.1/AY172335.1",,102,92499,"2004-09-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/635/GCA_000001635.9_GRCm39","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/635/GCF_000001635.27_GRCm39"
"Takifugu rubripes","Eukaryota;Animals;Fishes","","SAMEA104384834","PRJEB31988","GCA_901000725.2"," Chromosome",384.127,45.6992,"chromosome 1:NC_042285.1/LR584231.2; chromosome 2:NC_042286.1/LR584245.2; chromosome 3:NC_042287.1/LR584237.1; chromosome 4:NC_042288.1/LR584242.2; chromosome 5:NC_042289.1/LR584247.1; chromosome 6:NC_042290.1/LR584250.1; chromosome 7:NC_042291.1/LR584238.1; chromosome 8:NC_042292.1/LR584234.2; chromosome 9:NC_042293.1/LR584246.2; chromosome 10:NC_042294.1/LR584251.2; chromosome 11:NC_042295.1/LR584241.1; chromosome 12:NC_042296.1/LR584248.2; chromosome 13:NC_042297.1/LR584232.1; chromosome 14:NC_042298.1/LR584244.1; chromosome 15:NC_042299.1/LR584240.2; chromosome 16:NC_042300.1/LR584249.2; chromosome 17:NC_042301.1/LR584239.2; chromosome 18:NC_042302.1/LR584252.2; chromosome 19:NC_042303.1/LR584235.1; chromosome 20:NC_042304.1/LR584236.2; chromosome 21:NC_042305.1/LR584233.2; chromosome 22:NC_042306.1/LR584243.1; mitochondrion MT:NC_004299.1/","CAAJGN02",128,46760,"2019-04-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/901/000/725/GCA_901000725.2_fTakRub1.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/901/000/725/GCF_901000725.2_fTakRub1.2"
"Ciona savignyi","Eukaryota;Animals;Other Animals","","SAMN02952906","PRJNA1435","GCA_000149265.1","Scaffold",587.353,37.5,,"AACT01",34009,0,"2003-10-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/265/GCA_000149265.1_ASM14926v1",
"Rattus norvegicus","Eukaryota;Animals;Mammals","BN/NHsdMcwi","SAMN16261960","PRJNA677964","GCA_015227675.2"," Chromosome",2647.92,42.0588,"chromosome 1:NC_051336.1/CM026974.1; chromosome 2:NC_051337.1/CM026975.1; chromosome 3:NC_051338.1/CM026976.1; chromosome 4:NC_051339.1/CM026977.1; chromosome 5:NC_051340.1/CM026978.1; chromosome 6:NC_051341.1/CM026979.1; chromosome 7:NC_051342.1/CM026980.1; chromosome 8:NC_051343.1/CM026981.1; chromosome 9:NC_051344.1/CM026982.1; chromosome 10:NC_051345.1/CM026983.1; chromosome 11:NC_051346.1/CM026984.1; chromosome 12:NC_051347.1/CM026985.1; chromosome 13:NC_051348.1/CM026986.1; chromosome 14:NC_051349.1/CM026987.1; chromosome 15:NC_051350.1/CM026988.1; chromosome 16:NC_051351.1/CM026989.1; chromosome 17:NC_051352.1/CM026990.1; chromosome 18:NC_051353.1/CM026991.1; chromosome 19:NC_051354.1/CM026992.1; chromosome 20:NC_051355.1/CM026993.1; chromosome X:NC_051356.1/CM026994.1; chromosome Y:NC_051357.1/CM026995.1; mitochondrion MT:AY172581.1","JACYVU01",176,74754,"2020-11-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/227/675/GCA_015227675.2_mRatBN7.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/227/675/GCF_015227675.2_mRatBN7.2"
"Branchiostoma floridae","Eukaryota;Animals;Other Animals","S238N-H82","SAMN02953694","PRJNA20249","GCA_000003815.2"," Chromosome",513.461,41.7036,"chromosome 1:NC_049979.1/CM022886.1; chromosome 2:NC_049980.1/CM022887.1; chromosome 3:NC_049981.1/CM022888.1; chromosome 4:NC_049982.1/CM022889.1; chromosome 5:NC_049983.1/CM022890.1; chromosome 6:NC_049984.1/CM022891.1; chromosome 7:NC_049985.1/CM022892.1; chromosome 8:NC_049986.1/CM022893.1; chromosome 9:NC_049987.1/CM022894.1; chromosome 10:NC_049988.1/CM022895.1; chromosome 11:NC_049989.1/CM022896.1; chromosome 12:NC_049990.1/CM022897.1; chromosome 13:NC_049991.1/CM022898.1; chromosome 14:NC_049992.1/CM022899.1; chromosome 15:NC_049993.1/CM022900.1; chromosome 16:NC_049994.1/CM022901.1; chromosome 17:NC_049995.1/CM022902.1; chromosome 18:NC_049996.1/CM022903.1; chromosome 19:NC_049997.1/CM022904.1; mitochondrion MT:NC_000834.1/","ABEP03",432,43041,"2008-04-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/003/815/GCA_000003815.2_Bfl_VNyyK","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/815/GCF_000003815.2_Bfl_VNyyK"
"Bombyx mori","Eukaryota;Animals;Insects","p50T","SAMD00054089","PRJDB4947","GCA_014905235.2"," Chromosome",460.35,38.5538,"chromosome 1:NC_051358.1/BHWX01000001.1; chromosome 2:NC_051359.1/BHWX01000002.1; chromosome 3:NC_051360.1/BHWX01000003.1; chromosome 4:NC_051361.1/BHWX01000004.1; chromosome 5:NC_051362.1/BHWX01000005.1; chromosome 6:NC_051363.1/BHWX01000006.1; chromosome 7:NC_051364.1/BHWX01000007.1; chromosome 8:NC_051365.1/BHWX01000008.1; chromosome 9:NC_051366.1/BHWX01000009.1; chromosome 10:NC_051367.1/BHWX01000010.1; chromosome 11:NC_051368.1/BHWX01000011.1; chromosome 12:NC_051369.1/BHWX01000012.1; chromosome 13:NC_051370.1/BHWX01000013.1; chromosome 14:NC_051371.1/BHWX01000014.1; chromosome 15:NC_051372.1/BHWX01000015.1; chromosome 16:NC_051373.1/BHWX01000016.1; chromosome 17:NC_051374.1/BHWX01000017.1; chromosome 18:NC_051375.1/BHWX01000018.1; chromosome 19:NC_051376.1/BHWX01000019.1; chromosome 20:NC_051377.1/BHWX01000020.1; chromosome 21:NC_051378.1/BHWX01000021.1; chromosome 22:NC_051379.1/BHWX01000022.1; chromosome 23:NC_051380.1/BHWX01000023.1; chromosome 24:NC_051381.1/BHWX01000024.1; chromosome 25:NC_051382.1/BHWX01000025.1; chromosome 26:NC_051383.1/BHWX01000026.1; chromosome 27:NC_051384.1/BHWX01000027.1; chromosome 28:NC_051385.1/BHWX01000028.1; mitochondrion MT:NC_002355.1/","BHWX01",697,27309,"2020-10-13T21:24:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/905/235/GCA_014905235.2_Bmori_2016v1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/905/235/GCF_014905235.1_Bmori_2016v1.0"
"Coffea arabica","Eukaryota;Plants;Land Plants","CCC135-36","SAMN10272287","PRJNA506972","GCA_003713225.1"," Chromosome",1094.45,36.9585,"chromosome 1c:NC_039898.1/CM011106.1; chromosome 1e:NC_039899.1/CM011107.1; chromosome 2c:NC_039900.1/CM011108.1; chromosome 2e:NC_039901.1/CM011109.1; chromosome 3c:NC_039902.1/CM011110.1; chromosome 3e:NC_039903.1/CM011111.1; chromosome 4c:NC_039904.1/CM011112.1; chromosome 4e:NC_039905.1/CM011113.1; chromosome 5e:NC_039906.1/CM011115.1; chromosome 5c:NC_039907.1/CM011114.1; chromosome 6c:NC_039908.1/CM011116.1; chromosome 6e:NC_039909.1/CM011117.1; chromosome 7c:NC_039910.1/CM011118.1; chromosome 7e:NC_039911.1/CM011119.1; chromosome 8e:NC_039912.1/CM011121.1; chromosome 8c:NC_039913.1/CM011120.1; chromosome 9c:NC_039914.1/CM011122.1; chromosome 9e:NC_039915.1/CM011123.1; chromosome 10e:NC_039916.1/CM011103.1; chromosome 10c:NC_039917.1/CM011102.1; chromosome 11c:NC_039918.1/CM011104.1; chromosome 11e:NC_039919.1/CM011105.1; chloroplast Pltd:NC_008535.1/","RHJU01",2833,67222,"2018-11-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/713/225/GCA_003713225.1_Cara_1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/713/225/GCF_003713225.1_Cara_1.0"
