#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Solanum tuberosum","Eukaryota;Plants;Land Plants","solTubOtavaFocal","SAMN20326207","PRJNA747998","GCA_020169575.1"," Chromosome",774.674,35.1822,"chromosome 1:CM035000.1; chromosome 2:CM035001.1; chromosome 3:CM035002.1; chromosome 4:CM035003.1; chromosome 5:CM035004.1; chromosome 6:CM035005.1; chromosome 7:CM035006.1; chromosome 8:CM035007.1; chromosome 9:CM035008.1; chromosome 10:CM035009.1; chromosome 11:CM035010.1; chromosome 12:CM035011.1","JAIVGB01",26,37999,"2021-09-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/169/575/GCA_020169575.1_solTubHeraHap2",
"Vitis vinifera","Eukaryota;Plants;Land Plants","","SAMN13617738","PRJNA281110","GCA_022058905.1","Scaffold",531.701,30.6,,"JAJJMD01",104175,0,"2022-02-08T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/058/905/GCA_022058905.1_Flame",
"Prunus persica","Eukaryota;Plants;Land Plants","","SAMN00115268","PRJNA54015","GCA_000218195.1","Scaffold",211.308,37.2,,"AEKW01",35219,0,"2011-06-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/218/195/GCA_000218195.1_PrunusPersicaGB_1.0",
"Malus domestica","Eukaryota;Plants;Land Plants","","SAMN02981243","PRJNA28845","GCA_000148765.2"," Chromosome",1874.77,45.3151,"chromosome 1:CM001026.1; chromosome 2:CM001027.1; chromosome 3:CM001028.1; chromosome 4:CM001029.1; chromosome 5:CM001030.1; chromosome 6:CM001031.1; chromosome 7:CM001032.1; chromosome 8:CM001033.1; chromosome 9:CM001034.1; chromosome 10:CM001035.1; chromosome 11:CM001036.1; chromosome 12:CM001037.1; chromosome 13:CM001038.1; chromosome 14:CM001039.1; chromosome 15:CM001040.1; chromosome 16:CM001041.1; chromosome 17:CM001042.1","ACYM01",1667,0,"2010-09-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/765/GCA_000148765.2_MalDomGD1.0","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/765/GCF_000148765.1_MalDomGD1.0"
"Beta vulgaris subsp. vulgaris","Eukaryota;Plants;Land Plants","","SAMN02262047","PRJNA176558","GCA_000397105.1","Scaffold",426.675,35.9,,"ARYA01",260142,0,"2013-05-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/397/105/GCA_000397105.1_BvvSeq-1",
"Zea mays","Eukaryota;Plants;Land Plants","","SAMEA5313315","PRJEB31061","GCA_902167375.1"," Chromosome",2214.05,46.7511,"chromosome 1:LR633933.1; chromosome 2:LR633934.1; chromosome 3:LR633935.1; chromosome 4:LR633936.1; chromosome 5:LR633937.1; chromosome 6:LR633938.1; chromosome 7:LR633939.1; chromosome 8:LR633940.1; chromosome 9:LR633941.1; chromosome 10:LR633942.1","CABHMA01",1012,0,"2020-01-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/167/375/GCA_902167375.1_Zm-Ms71-REFERENCE-NAM-1.0",
"Triticum aestivum","Eukaryota;Plants;Land Plants","","SAMEA7089059","PRJEB39557","GCA_903994175.1"," Chromosome",14350.8,46.1235,"chromosome 1A:LR865458.1; chromosome 1B:LR865459.1; chromosome 1D:LR865460.1; chromosome 2A:LR865461.1; chromosome 2B:LR865462.1; chromosome 2D:LR865463.1; chromosome 3A:LR865464.1; chromosome 3B:LR865465.1; chromosome 3D:LR865466.1; chromosome 4A:LR865467.1; chromosome 4B:LR865468.1; chromosome 4D:LR865469.1; chromosome 5A:LR865470.1; chromosome 5B:LR865471.1; chromosome 5D:LR865472.1; chromosome 6A:LR865473.1; chromosome 6B:LR865474.1; chromosome 6D:LR865475.1; chromosome 7A:LR865476.1; chromosome 7B:LR865477.1; chromosome 7D:LR865478.1","CAJEWO01",119606,0,"2020-08-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/903/994/175/GCA_903994175.1_10wheat_assembly_mace",
"Oryza sativa","Eukaryota;Plants;Land Plants","","SAMN13829612","PRJNA644721","GCA_014636015.1"," Chromosome",404.811,43.8922,"chromosome 3:CM025766.1; chromosome 7:CM025767.1; chromosome 12:CM025768.1","JACJVK01",389,0,"2020-09-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/636/015/GCA_014636015.1_ASM1463601v1",
"Hordeum vulgare subsp. vulgare","Eukaryota;Plants;Land Plants","","SAMEA5928514","PRJEB34217","GCA_902498975.1"," Chromosome",4340.66,44.5703,"chromosome 1H:LR721633.1; chromosome 2H:LR721634.1; chromosome 3H:LR721635.1; chromosome 4H:LR721636.1; chromosome 5H:LR721637.1; chromosome 6H:LR721638.1; chromosome 7H:LR721639.1","CABVLW01",19571,0,"2019-10-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/498/975/GCA_902498975.1_Morex_v2.0",
"Solanum lycopersicum","Eukaryota;Plants;Land Plants","Heinz 1706","SAMD00036540","PRJNA41343","GCA_000181095.1","Scaffold",540.589,34.5,,"BABP01",100783,0,"2009-11-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/181/095/GCA_000181095.1_ASM18109v1",
"Glycine max","Eukaryota;Plants;Land Plants","","SAMN12622416","PRJNA561626","GCA_014282085.1"," Chromosome",988.84,34.9306,"chromosome 1:CM024893.1; chromosome 2:CM024894.1; chromosome 3:CM024895.1; chromosome 4:CM024896.1; chromosome 5:CM024897.1; chromosome 6:CM024898.1; chromosome 7:CM024899.1; chromosome 8:CM024900.1; chromosome 9:CM024901.1; chromosome 10:CM024902.1; chromosome 11:CM024903.1; chromosome 12:CM024904.1; chromosome 13:CM024905.1; chromosome 14:CM024906.1; chromosome 15:CM024907.1; chromosome 16:CM024908.1; chromosome 17:CM024909.1; chromosome 18:CM024910.1; chromosome 19:CM024911.1; chromosome 20:CM024912.1","WIXA01",181,30721,"2020-08-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/282/085/GCA_014282085.1_WHFS_GmZH13_1.0",
"Arabidopsis thaliana","Eukaryota;Plants;Land Plants","","SAMEA6623705","PRJEB37260","GCA_903064325.1"," Chromosome",120.693,36.3464,"chromosome 1:LR797807.1; chromosome 2:LR797808.1; chromosome 3:LR797809.1; chromosome 4:LR797810.1; chromosome 5:LR797811.1",,5,0,"2020-05-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/903/064/325/GCA_903064325.1_AT7186.Kn-0.PacBio",
"Arabidopsis thaliana","Eukaryota;Plants;Land Plants","","SAMEA5751963","PRJEB31147","GCA_902460285.1"," Chromosome",120.338,36.1308,"chromosome 1:LR699770.1; chromosome 2:LR699771.1; chromosome 3:LR699772.1; chromosome 4:LR699773.1; chromosome 5:LR699774.1","CABPTM01",105,0,"2019-08-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/460/285/GCA_902460285.1_Arabidopsis_thaliana_Ler",
"Glycine max","Eukaryota;Plants;Land Plants","","SAMN12622417","PRJNA561626","GCA_014282095.1"," Chromosome",995.708,34.9668,"chromosome 1:CM024913.1; chromosome 2:CM024914.1; chromosome 3:CM024915.1; chromosome 4:CM024916.1; chromosome 5:CM024917.1; chromosome 6:CM024918.1; chromosome 7:CM024919.1; chromosome 8:CM024920.1; chromosome 9:CM024921.1; chromosome 10:CM024922.1; chromosome 11:CM024923.1; chromosome 12:CM024924.1; chromosome 13:CM024925.1; chromosome 14:CM024926.1; chromosome 15:CM024927.1; chromosome 16:CM024928.1; chromosome 17:CM024929.1; chromosome 18:CM024930.1; chromosome 19:CM024931.1; chromosome 20:CM024932.1","WIXB01",332,58338,"2020-08-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/282/095/GCA_014282095.1_WHFS_GmJY_1.0",
"Solanum lycopersicum var. cerasiforme","Eukaryota;Plants;Land Plants","","SAMD00241795","PRJDB10420","GCA_016860505.2","Contig",805.374,34.7,,"BMBW01",206,0,"2021-01-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/860/505/GCA_016860505.2_SLYcer_r1.1",
"Hordeum vulgare subsp. vulgare","Eukaryota;Plants;Land Plants","","SAMEA8609701","PRJEB44504","GCA_907165075.1"," Chromosome",4439.13,44.6421,"chromosome 1H:OU015681.1; chromosome 2H:OU015682.1; chromosome 3H:OU015683.1; chromosome 4H:OU015684.1; chromosome 5H:OU015685.1; chromosome 6H:OU015686.1; chromosome 7H:OU015687.1","CAJRBG01",44684,0,"2022-01-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/907/165/075/GCA_907165075.1_Haruna_Nijo_pseudomolecules_assembly",
"Oryza sativa","Eukaryota;Plants;Land Plants","","SAMN08275276","PRJNA427873","GCA_003865215.1"," Chromosome",395.354,43.6403,"chromosome 1:CM012053.1; chromosome 2:CM012054.1; chromosome 3:CM012055.1; chromosome 4:CM012056.1; chromosome 5:CM012057.1; chromosome 6:CM012058.1; chromosome 7:CM012059.1; chromosome 8:CM012060.1; chromosome 9:CM012061.1; chromosome 10:CM012062.1; chromosome 11:CM012063.1; chromosome 12:CM012064.1","PKRX01",127,0,"2018-12-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/865/215/GCA_003865215.1_ASM386521v1",
"Zea mays","Eukaryota;Plants;Land Plants","","SAMEA5313313","PRJEB31061","GCA_902167175.1"," Chromosome",2192.4,46.7944,"chromosome 1:LR627503.1; chromosome 2:LR627504.1; chromosome 3:LR627505.1; chromosome 4:LR627506.1; chromosome 5:LR627507.1; chromosome 6:LR627508.1; chromosome 7:LR627509.1; chromosome 8:LR627510.1; chromosome 9:LR627511.1; chromosome 10:LR627512.1","CABHLN01",739,0,"2020-01-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/167/175/GCA_902167175.1_Zm-M37W-REFERENCE-NAM-1.0",
"Triticum aestivum","Eukaryota;Plants;Land Plants","","SAMEA7202579","PRJEB39982","GCA_904066035.1"," Chromosome",14910.4,46.0297,"chromosome 1A:LR878435.1; chromosome 1B:LR878436.1; chromosome 1D:LR878437.1; chromosome 2A:LR878438.1; chromosome 2B:LR878439.1; chromosome 2D:LR878440.1; chromosome 3A:LR878441.1; chromosome 3B:LR878442.1; chromosome 3D:LR878443.1; chromosome 4A:LR878444.1; chromosome 4B:LR878445.1; chromosome 4D:LR878446.1; chromosome 5A:LR878447.1; chromosome 5B:LR878448.1; chromosome 5D:LR878449.1; chromosome 6A:LR878450.1; chromosome 6B:LR878451.1; chromosome 6D:LR878452.1; chromosome 7A:LR878453.1; chromosome 7B:LR878454.1; chromosome 7D:LR878455.1","CAJFCQ01",21465,0,"2020-08-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/904/066/035/GCA_904066035.1_10wheat_assembly_norin61",
"Beta vulgaris subsp. maritima","Eukaryota;Plants;Land Plants","WB42","SAMN11125681","PRJNA527013","GCA_005862445.2","Scaffold",608.27,33.5,,"VASK02",97415,0,"2019-05-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/862/445/GCA_005862445.2_Bmar-1.0.1",
"Malus domestica","Eukaryota;Plants;Land Plants","","SAMEA9197674","PRJEB47757","GCA_916614045.1","Scaffold",587.621,38.1,,"CAKAJP01",434,0,"2021-09-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/916/614/045/GCA_916614045.1_drMalDome11.1_alternate_haplotype",
"Prunus persica","Eukaryota;Plants;Land Plants","","SAMN19992624","PRJNA743062","GCA_019209885.1","Contig",192.852,37.3,,"JAHUAE01",52689,0,"2021-07-13T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/209/885/GCA_019209885.1_ASM1920988v1",
"Vitis vinifera subsp. sylvestris","Eukaryota;Plants;Land Plants","","SAMEA6619703","PRJEB37020","GCA_903992495.4","Scaffold",317.526,34.6,,"CAJEUC04",20,0,"2020-07-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/903/992/495/GCA_903992495.4_Sylvestris_C1-2_haplotigs_pseudomolecules",
"Solanum tuberosum","Eukaryota;Plants;Land Plants","","SAMN12826500","PRJNA646008","GCA_014189305.1"," Chromosome",863.432,35.416,"chromosome 1:CM024729.1; chromosome 2:CM024730.1; chromosome 3:CM024731.1; chromosome 4:CM024732.1; chromosome 5:CM024733.1; chromosome 6:CM024734.1; chromosome 7:CM024735.1; chromosome 8:CM024736.1; chromosome 9:CM024737.1; chromosome 10:CM024738.1; chromosome 11:CM024739.1; chromosome 12:CM024740.1","JACDXM01",3012,0,"2020-08-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/189/305/GCA_014189305.1_ASM1418930v1",
"Oryza rufipogon","Eukaryota;Plants;Land Plants","","SAMEA1531358","PRJEB29274","GCA_900609385.1","Contig",0.522775,42.6,,"UXCD01",399,0,"2019-01-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/609/385/GCA_900609385.1_Draft_mitochondrial_genome_of_wild_rice_W1757",
"Cucumis sativus","Eukaryota;Plants;Land Plants","","SAMN15829362","PRJNA657438","GCA_016161765.1"," Chromosome",243.737,33.1717,"chromosome 1:CM028024.1; chromosome 2:CM028025.1; chromosome 3:CM028026.1; chromosome 4:CM028027.1; chromosome 5:CM028028.1; chromosome 6:CM028029.1; chromosome 7:CM028030.1","JACOQM01",830,0,"2020-12-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/161/765/GCA_016161765.1_Hx117_PacBio_assembly",
"Cucumis melo var. makuwa","Eukaryota;Plants;Land Plants","","SAMN11370205","PRJNA531576","GCA_005549225.1","Scaffold",347.184,31.6,,"SSTD01",20255,36235,"2019-05-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/549/225/GCA_005549225.1_ASM554922v1",
"Citrus sinensis","Eukaryota;Plants;Land Plants","","SAMN05412752","PRJNA321100","GCA_019144195.1"," Chromosome",315.067,34.1224,"chromosome 1:CM032689.1; chromosome 2:CM032690.1; chromosome 3:CM032691.1; chromosome 4:CM032692.1; chromosome 5:CM032693.1; chromosome 6:CM032694.1; chromosome 7:CM032695.1; chromosome 8:CM032696.1; chromosome 9:CM032697.1","JAFVMK01",40,0,"2021-07-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/144/195/GCA_019144195.1_ASM1914419v1",
"Camellia sinensis var. assamica","Eukaryota;Plants;Land Plants","TES-34","SAMN19222203","PRJNA730185","GCA_020536795.1"," Chromosome",3062.62,38.5198,"chromosome 1:CM035992.1; chromosome 2:CM035993.1; chromosome 3:CM035994.1; chromosome 4:CM035995.1; chromosome 5:CM035996.1; chromosome 6:CM035997.1; chromosome 7:CM035998.1; chromosome 8:CM035999.1; chromosome 9:CM036000.1; chromosome 10:CM036001.1; chromosome 11:CM036002.1; chromosome 12:CM036003.1; chromosome 13:CM036004.1; chromosome 14:CM036005.1; chromosome 15:CM036006.1","JAHQJW01",163,0,"2021-10-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/536/795/GCA_020536795.1_ASM2053679v1",
"Cannabis sativa","Eukaryota;Plants;Land Plants","Father","SAMN13941723","PRJNA575581","GCA_013030025.1","Contig",1009.16,33.9,,"JAATIQ01",1264,31591,"2020-04-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/030/025/GCA_013030025.1_JL_Father",
"Raphanus sativus var. oleiformis","Eukaryota;Plants;Land Plants","YMYLB","SAMN15568235","PRJNA646918","GCA_019705865.1"," Chromosome",514.662,37.2557,"chromosome 1:CM033926.1; chromosome 2:CM033927.1; chromosome 3:CM033928.1; chromosome 4:CM033929.1; chromosome 5:CM033930.1; chromosome 6:CM033931.1; chromosome 7:CM033932.1; chromosome 8:CM033933.1; chromosome 9:CM033934.1","JACZFT01",46,0,"2021-08-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/705/865/GCA_019705865.1_IVFCAAS_Rs02_1.0",
"Solanum verrucosum","Eukaryota;Plants;Land Plants","","SAMEA104077226","PRJEB21117","GCA_900185215.1","Contig",722.285,0,,"FXZR01",8138,0,"2018-05-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/185/215/GCA_900185215.1_canu",
"Solanum verrucosum","Eukaryota;Plants;Land Plants","","SAMEA104077226","PRJEB21116","GCA_900185185.1","Scaffold",751.585,38.6,,"FYAB01",321725,0,"2018-05-23T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/185/185/GCA_900185185.1_abyss77-mp",
"Raphanus sativus var. niger","Eukaryota;Plants;Land Plants","ECJ18-F-1","SAMN15568636","PRJNA646918","GCA_019705885.1"," Chromosome",465.105,36.7673,"chromosome 1:CM033989.1; chromosome 2:CM033990.1; chromosome 3:CM033991.1; chromosome 4:CM033992.1; chromosome 5:CM033993.1; chromosome 6:CM033994.1; chromosome 7:CM033995.1; chromosome 8:CM033996.1; chromosome 9:CM033997.1","JADEVC01",55,0,"2021-08-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/705/885/GCA_019705885.1_IVFCAAS_Rs03_1.0",
"Cannabis sativa","Eukaryota;Plants;Land Plants","","SAMN05941636","PRJNA350523","GCA_001865755.1","Contig",585.824,33.7,,"MNPR01",11110,0,"2016-11-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/865/755/GCA_001865755.1_ASM186575v1",
"Camellia sinensis var. lasiocalyx","Eukaryota;Plants;Land Plants","SMP-1","SAMN19222202","PRJNA730185","GCA_020536555.1"," Chromosome",3062.77,38.5319,"chromosome 1:CM035962.1; chromosome 2:CM035963.1; chromosome 3:CM035964.1; chromosome 4:CM035965.1; chromosome 5:CM035966.1; chromosome 6:CM035967.1; chromosome 7:CM035968.1; chromosome 8:CM035969.1; chromosome 9:CM035970.1; chromosome 10:CM035971.1; chromosome 11:CM035972.1; chromosome 12:CM035973.1; chromosome 13:CM035974.1; chromosome 14:CM035975.1; chromosome 15:CM035976.1","JAHQJV01",163,0,"2021-10-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/536/555/GCA_020536555.1_ASM2053655v1",
"Citrus sinensis","Eukaryota;Plants;Land Plants","","SAMN07311581","PRJNA321100","GCA_019143665.1"," Chromosome",310.567,34.1655,"chromosome 1:CM032671.1; chromosome 2:CM032672.1; chromosome 3:CM032673.1; chromosome 4:CM032674.1; chromosome 5:CM032675.1; chromosome 6:CM032676.1; chromosome 7:CM032677.1; chromosome 8:CM032678.1; chromosome 9:CM032679.1","JAFVMJ01",283,0,"2021-07-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/143/665/GCA_019143665.1_ASM1914366v1",
"Cucumis sativus","Eukaryota;Plants;Land Plants","","SAMN15829355","PRJNA657438","GCA_016163705.1"," Chromosome",239.412,33.3371,"chromosome 1:CM028067.1; chromosome 2:CM028068.1; chromosome 3:CM028069.1; chromosome 4:CM028070.1; chromosome 5:CM028071.1; chromosome 6:CM028072.1; chromosome 7:CM028073.1","JACOQT01",758,0,"2020-12-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/163/705/GCA_016163705.1_Gy14_PacBio_assembly",
"Oryza rufipogon","Eukaryota;Plants;Land Plants","","SAMEA1531188","PRJEB29274","GCA_900609605.1","Contig",0.479941,42.8,,"UXCZ01",272,0,"2019-01-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/609/605/GCA_900609605.1_Draft_mitochondrial_genome_of_wild_rice_W3070",
"Solanum tuberosum","Eukaryota;Plants;Land Plants","","SAMN12826500","PRJNA573826","GCA_014189475.1"," Chromosome",810.123,35.2471,"chromosome 1:CM024741.1; chromosome 2:CM024742.1; chromosome 3:CM024743.1; chromosome 4:CM024744.1; chromosome 5:CM024745.1; chromosome 6:CM024746.1; chromosome 7:CM024747.1; chromosome 8:CM024748.1; chromosome 9:CM024749.1; chromosome 10:CM024750.1; chromosome 11:CM024751.1; chromosome 12:CM024752.1","JACDXL01",12,0,"2020-08-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/189/475/GCA_014189475.1_ASM1418947v1",
"Malus domestica","Eukaryota;Plants;Land Plants","","SAMEA9197673","PRJEB47506","GCA_916048125.1","Contig",573.965,38.1,,"CAJZHQ01",600,0,"2021-09-18T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/916/048/125/GCA_916048125.1_drMalDome10.1_alternate_haplotype",
"Beta vulgaris subsp. cicla","Eukaryota;Plants;Land Plants","M4021","SAMN16385194","PRJNA667824","GCA_018282175.1","Scaffold",639.15,32.3,,"JADNRI01",186356,0,"2021-05-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/282/175/GCA_018282175.1_Chard-1.0",
"Zea mays","Eukaryota;Plants;Land Plants","","SAMEA5313307","PRJEB31061","GCA_902167085.1"," Chromosome",2140.95,46.852,"chromosome 1:LR619269.1; chromosome 2:LR619270.1; chromosome 3:LR619271.1; chromosome 4:LR619272.1; chromosome 5:LR619273.1; chromosome 6:LR619274.1; chromosome 7:LR619275.1; chromosome 8:LR619276.1; chromosome 9:LR619277.1; chromosome 10:LR619278.1","CABHLG01",395,0,"2020-01-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/167/085/GCA_902167085.1_Zm-HP301-REFERENCE-NAM-1.0",
"Triticum aestivum","Eukaryota;Plants;Land Plants","","SAMEA7089062","PRJEB39560","GCA_903994155.1"," Chromosome",14463.5,46.1404,"chromosome 1A:LR865739.1; chromosome 1B:LR865740.1; chromosome 1D:LR865741.1; chromosome 2A:LR865742.1; chromosome 2B:LR865743.1; chromosome 2D:LR865744.1; chromosome 3A:LR865745.1; chromosome 3B:LR865746.1; chromosome 3D:LR865747.1; chromosome 4A:LR865748.1; chromosome 4B:LR865749.1; chromosome 4D:LR865750.1; chromosome 5A:LR865751.1; chromosome 5B:LR865752.1; chromosome 5D:LR865753.1; chromosome 6A:LR865754.1; chromosome 6B:LR865755.1; chromosome 6D:LR865756.1; chromosome 7A:LR865757.1; chromosome 7B:LR865758.1; chromosome 7D:LR865759.1","CAJEWR01",104381,0,"2020-08-12T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/903/994/155/GCA_903994155.1_10wheat_assembly_stanley",
