TaxID,Superkingdom,Phylum,Family,Genus,Species,Strain,BioProject,BioSample,Genome.id,Assembly,Mitochondrion.id,Scaffolds,Genome.size,Genome.GC,Genome.CDS,Mitochondrion.size,Mitochondrion.GC,Mitochondrion.CDS,size.ratio,GenBank.FTP
8010,Eukaryota,Chordata,Esocidae,Esox,Esox lucius,Castlegar BC 2017 Female #2,PRJNA268215,SAMN09690694,linkage group LG01:CM015574.1; linkage group LG02:CM015575.1; linkage group LG03:CM015576.1; linkage group LG04:CM015577.1; linkage group LG05:CM015578.1; linkage group LG06:CM015579.1; linkage group LG07:CM015580.1; linkage group LG08:CM015581.1; linkage group LG09:CM015582.1; linkage group LG10:CM015583.1; linkage group LG11:CM015584.1; linkage group LG12:CM015585.1; linkage group LG13:CM015586.1; linkage group LG14:CM015587.1; linkage group LG15:CM015588.1; linkage group LG16:CM015589.1; linkage group LG17:CM015590.1; linkage group LG18:CM015591.1; linkage group LG19:CM015592.1; linkage group LG20:CM015593.1; linkage group LG21:CM015594.1; linkage group LG22:CM015595.1; linkage group LG23:CM015596.1; linkage group LG24:CM015597.1; linkage group LG25:CM015598.1; mitochondrion MT:CM015599.1; mitochondrion MT:NC_004593.1/CM015599.1,GCA_004634155.1,MT:NC_004593.1/,811,940.907,42.2905,13,0.016695,43.8814,13,56358.61036,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/634/155/GCA_004634155.1_Eluc_v4
52283,Eukaryota,Arthropoda,Sarcoptidae,Sarcoptes,Sarcoptes scabiei,Arlian Lab,PRJNA268368,SAMN03218485,mitochondrion MT:CM003133.1,GCA_000828355.1,MT:CM003133.1,18860,56.2624,33.2966,10486,0.013667,19.3459,13,4116.660569,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/828/355/GCA_000828355.1_SarSca1.0
9837,Eukaryota,Chordata,Camelidae,Camelus,Camelus bactrianus,,PRJNA269612,SAMN02953968,mitochondrion MT:NC_009628.2/,GCA_000767855.1,MT:NC_009628.2/,35455,1992.66,41.4,41434,0.016659,41.9233,13,119614.6227,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/767/855/GCA_000767855.1_Ca_bactrianus_MBC_1.0
28588,Eukaryota,Arthropoda,Tephritidae,Zeugodacus,Zeugodacus cucurbitae,USDA-PBARC White Pupae T1,PRJNA273817,SAMN03083541,mitochondrion MT:NC_016056.1/,GCA_000806345.1,MT:NC_016056.1/,5572,374.82,37.2996,24215,0.015825,27.109,13,23685.30806,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/806/345/GCA_000806345.1_ASM80634v1
27457,Eukaryota,Arthropoda,Tephritidae,Bactrocera,Bactrocera dorsalis,Punador,PRJNA273958,SAMN02203716,mitochondrion MT:NC_008748.1/,GCA_000789215.2,MT:NC_008748.1/,7166,414.985,39.8995,20836,0.015915,26.4153,13,26075.0864,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/789/215/GCA_000789215.2_ASM78921v2
379532,Eukaryota,Chordata,Indriidae,Propithecus,Propithecus coquereli,6110/MARCELLA,PRJNA281642,SAMN03121823,mitochondrion MT:NC_011053.1/,GCA_000956105.1,MT:NC_011053.1/,22539,2798.15,43.2,28194,0.017104,40.1368,13,163596.2348,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/956/105/GCA_000956105.1_Pcoq_1.0
37293,Eukaryota,Chordata,Aotidae,Aotus,Aotus nancymaae,86115,PRJNA282745,SAMN03121886,mitochondrion MT:NC_018116.1/,GCA_000952055.2,MT:NC_018116.1/,28922,2861.68,41.1,47568,0.016469,38.6605,13,173761.6127,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/952/055/GCA_000952055.2_Anan_2.0
8400,Eukaryota,Chordata,Ranidae,Lithobates,Lithobates catesbeianus,Bruno,PRJNA285814,SAMN03760860,mitochondrion MT:KX686108.1,GCA_002284835.2,MT:KX686108.1,1544635,6250.35,43.6998,28771,0.017681,40.0486,13,353506.589,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/284/835/GCA_002284835.2_RCv2.1
381198,Eukaryota,Chordata,Anatidae,Anser,Anser cygnoides domesticus,,PRJNA290577,SAMN01830643,mitochondrion MT:NC_023832.1/,GCA_000971095.1,MT:NC_023832.1/,7593,1119.15,41.5001,31811,0.016739,47.3027,13,66858.83267,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/971/095/GCA_000971095.1_AnsCyg_PRJNA183603_v1.0
7574,Eukaryota,Brachiopoda,Lingulidae,Lingula,Lingula anatina,Amm_Jpn,PRJNA293030,SAMN03770811,mitochondrion MT:NC_036679.1/,GCA_001039355.2,MT:NC_036679.1/,2678,406.308,37,41392,0.02579,36.836,13,15754.47848,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/039/355/GCA_001039355.2_LinAna2.0
104688,Eukaryota,Arthropoda,Tephritidae,Bactrocera,Bactrocera oleae,Demokritus,PRJNA293367,SAMN03840585,mitochondrion MT:NC_005333.1/,GCA_001188975.4,MT:NC_005333.1/,38161,484.947,35.4997,33727,0.015815,27.3727,13,30663.73696,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/188/975/GCA_001188975.4_MU_Boleae_v2
211228,Eukaryota,Arthropoda,Cephidae,Cephus,Cephus cinctus,,PRJNA297591,SAMN02905554,mitochondrion MT:NC_012688.1/,GCA_000341935.1,MT:NC_012688.1/,1976,162.246,40.3973,31876,0.019339,18.0464,13,8389.575469,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/341/935/GCA_000341935.1_Ccin1
79782,Eukaryota,Arthropoda,Cimicidae,Cimex,Cimex lectularius,Harlan,PRJNA298750,SAMN02649412,mitochondrion MT:NC_030043.1/,GCA_000648675.3,MT:NC_030043.1/,1574,510.849,34.7998,24194,0.015217,28.3302,13,33570.9404,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/648/675/GCA_000648675.3_Clec_2.1
286706,Eukaryota,Arthropoda,Pentatomidae,Halyomorpha,Halyomorpha halys,HHAL.00,PRJNA298780,SAMN02737379,mitochondrion MT:NC_013272.1/,GCA_000696795.2,MT:NC_013272.1/,16639,998.241,30.8999,25026,0.016518,23.6651,13,60433.52706,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/696/795/GCA_000696795.2_Hhal_2.0
146911,Eukaryota,Chordata,Gekkonidae,Gekko,Gekko japonicus,JY-2015,PRJNA308133,SAMN04157958,mitochondrion MT:NC_028035.1/,GCA_001447785.1,MT:NC_028035.1/,191500,2490.27,45.5,24464,0.016544,44.2819,13,150524.0571,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/447/785/GCA_001447785.1_Gekko_japonicus_V1.1
28743,Eukaryota,Chordata,Cyprinodontidae,Cyprinodon,Cyprinodon variegatus,N-32,PRJNA308224,SAMN02736898,mitochondrion MT:NC_028088.1/,GCA_000732505.1,MT:NC_028088.1/,9259,1035.18,39.5001,36524,0.0165,46.4485,13,62738.18182,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/732/505/GCA_000732505.1_C_variegatus-1.0
143948,Eukaryota,Arthropoda,Aphididae,Diuraphis,Diuraphis noxia,RWA2,PRJNA310344,SAMN02693874,mitochondrion MT:NC_022727.1/,GCA_001186385.1,MT:NC_022727.1/,5637,395.074,34.2992,17476,0.015784,15.2433,13,25030.03041,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/186/385/GCA_001186385.1_Dnoxia_1.0
9157,Eukaryota,Chordata,Paridae,Parus,Parus major,Abel,PRJNA312399,SAMN03083587,chromosome 1:NC_031768.1/CM003709.1; chromosome 2:NC_031769.1/CM003710.1; chromosome 3:NC_031770.1/CM003711.1; chromosome 4:NC_031771.1/CM003712.1; chromosome 4A:NC_031772.1/CM003713.1; chromosome 1A:NC_031773.1/CM003714.1; chromosome 5:NC_031774.1/CM003715.1; chromosome 6:NC_031775.1/CM003716.2; chromosome 7:NC_031776.1/CM003717.2; chromosome 8:NC_031777.1/CM003718.2; chromosome 9:NC_031778.1/CM003719.1; chromosome 10:NC_031779.1/CM003720.1; chromosome 11:NC_031780.1/CM003721.1; chromosome 12:NC_031781.1/CM003722.1; chromosome 13:NC_031782.1/CM003723.1; chromosome 14:NC_031783.1/CM003724.1; chromosome 15:NC_031784.1/CM003725.1; chromosome 17:NC_031785.1/CM003726.1; chromosome 18:NC_031786.1/CM003727.1; chromosome 19:NC_031787.1/CM003728.1; chromosome 20:NC_031788.1/CM003729.1; chromosome 21:NC_031789.1/CM003730.1; chromosome 22:NC_031790.1/CM003731.1; chromosome 23:NC_031791.1/CM003732.1; chromosome 24:NC_031792.1/CM003733.1; chromosome 25LG1:NC_031793.1/CM003734.1; chromosome 25LG2:NC_031794.1/CM003735.1; chromosome 26:NC_031795.1/CM003736.1; chromosome 27:NC_031796.1/CM003737.1; chromosome 28:NC_031797.1/CM003738.1; chromosome Z:NC_031799.1/CM003740.1; linkage group LGE22:NC_031798.1/CM003739.1; mitochondrion MT:NC_040875.1/MH638304.1,GCA_001522545.3,MT:NC_040875.1/MH638304.1,1675,1020.31,41.5208,38619,0.016777,47.7201,13,60815.99809,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/522/545/GCA_001522545.3_Parus_major1.1
93934,Eukaryota,Chordata,Phasianidae,Coturnix,Coturnix japonica,7356,PRJNA314147,SAMN03989050,chromosome 1:NC_029516.1/CM003781.1; chromosome 2:NC_029517.1/CM003782.1; chromosome 3:NC_029518.1/CM003783.1; chromosome 4:NC_029519.1/CM003784.1; chromosome 5:NC_029520.1/CM003785.1; chromosome 6:NC_029521.1/CM003786.1; chromosome 7:NC_029522.1/CM003787.1; chromosome 8:NC_029523.1/CM003788.1; chromosome 9:NC_029524.1/CM003789.1; chromosome 10:NC_029525.1/CM003790.1; chromosome 11:NC_029526.1/CM003791.1; chromosome 12:NC_029527.1/CM003792.1; chromosome 13:NC_029528.1/CM003793.1; chromosome 14:NC_029529.1/CM003794.1; chromosome 15:NC_029530.1/CM003795.1; chromosome 16:NC_029531.1/CM003796.1; chromosome 17:NC_029532.1/CM003797.1; chromosome 18:NC_029533.1/CM003798.1; chromosome 19:NC_029534.1/CM003799.1; chromosome 20:NC_029535.1/CM003800.1; chromosome 21:NC_029536.1/CM003801.1; chromosome 22:NC_029537.1/CM003802.1; chromosome 23:NC_029538.1/CM003803.1; chromosome 24:NC_029539.1/CM003804.1; chromosome 25:NC_029540.1/CM003805.1; chromosome 26:NC_029541.1/CM003806.1; chromosome 27:NC_029542.1/CM003807.1; chromosome 28:NC_029543.1/CM003808.1; chromosome Z:NC_029547.1/CM003812.1; linkage group LGE22C19W28_E50C23:NC_029544.1/CM003809.1; linkage group LGE64:NC_029545.1/CM003810.1; mitochondrion MT:NC_003408.1/,GCA_001577835.2,MT:NC_003408.1/,2531,927.657,41.3681,40894,0.016697,44.4152,13,55558.30389,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/577/835/GCA_001577835.2_Coturnix_japonica_2.1
75366,Eukaryota,Chordata,Cyprinidae,Sinocyclocheilus,Sinocyclocheilus grahami,Dianchi,PRJNA316320,SAMN03320097,mitochondrion MT:NC_013189.1/,GCA_001515645.1,MT:NC_013189.1/,31277,1750.29,38.7,67410,0.016585,43.7866,13,105534.5191,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/515/645/GCA_001515645.1_SAMN03320097.WGS_v1.1
75366,Eukaryota,Chordata,Cyprinidae,Sinocyclocheilus,Sinocyclocheilus grahami,Dianchi,PRJNA316320,SAMN03320097,mitochondrion MT:NC_013189.1/,GCA_001515645.1,MT:NC_027168.1/,31277,1750.29,38.7,67410,0.016588,42.8322,13,105515.4328,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/515/645/GCA_001515645.1_SAMN03320097.WGS_v1.1
75366,Eukaryota,Chordata,Cyprinidae,Sinocyclocheilus,Sinocyclocheilus grahami,Dianchi,PRJNA316320,SAMN03320097,mitochondrion MT:NC_013189.1/,GCA_001515645.1,MT:NC_027169.1/,31277,1750.29,38.7,67410,0.016618,44.5661,13,105324.9489,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/515/645/GCA_001515645.1_SAMN03320097.WGS_v1.1
307959,Eukaryota,Chordata,Cyprinidae,Sinocyclocheilus,Sinocyclocheilus rhinocerous,Xijiao,PRJNA316320,SAMN03320098,mitochondrion MT:NC_027168.1/,GCA_001515625.1,MT:NC_013189.1/,164173,1655.79,38.1,68562,0.016585,43.7866,13,99836.59934,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/515/625/GCA_001515625.1_SAMN03320098_v1.1
307959,Eukaryota,Chordata,Cyprinidae,Sinocyclocheilus,Sinocyclocheilus rhinocerous,Xijiao,PRJNA316320,SAMN03320098,mitochondrion MT:NC_027168.1/,GCA_001515625.1,MT:NC_027168.1/,164173,1655.79,38.1,68562,0.016588,42.8322,13,99818.54353,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/515/625/GCA_001515625.1_SAMN03320098_v1.1
307959,Eukaryota,Chordata,Cyprinidae,Sinocyclocheilus,Sinocyclocheilus rhinocerous,Xijiao,PRJNA316320,SAMN03320098,mitochondrion MT:NC_027168.1/,GCA_001515625.1,MT:NC_027169.1/,164173,1655.79,38.1,68562,0.016618,44.5661,13,99638.34396,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/515/625/GCA_001515625.1_SAMN03320098_v1.1
1608454,Eukaryota,Chordata,Cyprinidae,Sinocyclocheilus,Sinocyclocheilus anshuiensis,Anshui,PRJNA316320,SAMN03320099,mitochondrion MT:NC_027169.1/,GCA_001515605.1,MT:NC_013189.1/,85682,1632.72,38.0001,68474,0.016585,43.7866,13,98445.58336,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/515/605/GCA_001515605.1_SAMN03320099.WGS_v1.1
