TaxID,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Groups,Strain,BioSample,BioProject,Assembly,Level,Size.Mb.,GC.,Replicons,WGS,Scaffolds,CDS,Release.Date,GenBank.FTP,RefSeq.FTP,Genes,Host,Modify.Date,other.RNA,Pseudogene,rRNA,tRNA
7159,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes aegypti,Insects,LVP_AGWG,SAMN07177802,PRJNA392114,GCA_002204515.1, Chromosome,1278.73,38.1667,chromosome 1:NC_035107.1/CM008043.1; chromosome 2:NC_035108.1/CM008044.1; chromosome 3:NC_035109.1/CM008045.1; mitochondrion MT:NC_035159.1/MF194022.1,NIGP01,2310,28317,2017-06-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/204/515/GCA_002204515.1_AaegL5.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/204/515/GCF_002204515.2_AaegL5.0,19623,,2017-06-23T00:00:00Z,4709,382,2,933
180454,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles gambiae str. PEST,Insects,PEST,SAMN02952903,PRJNA1438,GCA_000005575.1, Chromosome,265.027,44.5151,chromosome X:NC_004818.2/CM000360.1; chromosome 2R:NT_078266.2/CM000357.1; chromosome 3R:NT_078268.4/CM000359.1; chromosome 2L:NT_078265.2/CM000356.1; chromosome 3L:NT_078267.5/CM000358.1; mitochondrion MT:NC_002084.1/,AAAB01,8145,14102,2002-03-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/005/575/GCA_000005575.1_AgamP3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/575/GCF_000005575.2_AgamP3,13271,,2014-08-05T00:00:00Z,159,0,37,472
7227,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila melanogaster,Insects,,SAMN02803731,PRJNA13669,GCA_000001215.4, Chromosome,143.726,42.0803,chromosome X:NC_004354.4/AE014298.5; chromosome 2L:NT_033779.5/AE014134.6; chromosome 2R:NT_033778.4/AE013599.5; chromosome 3L:NT_037436.4/AE014296.5; chromosome 3R:NT_033777.3/AE014297.3; chromosome 4:NC_004353.4/AE014135.4; chromosome Y:NC_024512.1/CP007106.1; mitochondrion MT:NC_024511.2/KJ947872.2,,1870,30717,2002-04-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/215/GCA_000001215.4_Release_6_plus_ISO1_MT,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/215/GCF_000001215.4_Release_6_plus_ISO1_MT,17864,,2020-04-22T00:00:00Z,4122,336,134,319
7460,Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis mellifera,Insects,DH4,SAMN09259743,PRJNA477511,GCA_003254395.2, Chromosome,225.251,32.6352,linkage group LG1:NC_037638.1/CM009931.2; linkage group LG2:NC_037639.1/CM009932.2; linkage group LG3:NC_037640.1/CM009933.2; linkage group LG4:NC_037641.1/CM009934.2; linkage group LG5:NC_037642.1/CM009935.2; linkage group LG6:NC_037643.1/CM009936.2; linkage group LG7:NC_037644.1/CM009937.2; linkage group LG8:NC_037645.1/CM009938.2; linkage group LG9:NC_037646.1/CM009939.2; linkage group LG10:NC_037647.1/CM009940.2; linkage group LG11:NC_037648.1/CM009941.2; linkage group LG12:NC_037649.1/CM009942.2; linkage group LG13:NC_037650.1/CM009943.2; linkage group LG14:NC_037651.1/CM009944.2; linkage group LG15:NC_037652.1/CM009945.2; linkage group LG16:NC_037653.1/CM009946.2; mitochondrion MT:NC_001566.1/CM009947.2,QIUM02,177,23471,2018-06-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/254/395/GCA_003254395.2_Amel_HAv3.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/254/395/GCF_003254395.2_Amel_HAv3.1,12398,,2019-09-11T00:00:00Z,4622,42,57,218
7955,Eukaryota,Metazoa,Chordata,Actinopteri,Cypriniformes,Danionidae,Danio,Danio rerio,Fishes,Tuebingen,SAMN06930106,PRJNA11776,GCA_000002035.4, Chromosome,1679.2,36.6374,chromosome 1:NC_007112.7/CM002885.2; chromosome 2:NC_007113.7/CM002886.2; chromosome 3:NC_007114.7/CM002887.2; chromosome 4:NC_007115.7/CM002888.2; chromosome 5:NC_007116.7/CM002889.2; chromosome 6:NC_007117.7/CM002890.2; chromosome 7:NC_007118.7/CM002891.2; chromosome 8:NC_007119.7/CM002892.2; chromosome 9:NC_007120.7/CM002893.2; chromosome 10:NC_007121.7/CM002894.2; chromosome 11:NC_007122.7/CM002895.2; chromosome 12:NC_007123.7/CM002896.2; chromosome 13:NC_007124.7/CM002897.2; chromosome 14:NC_007125.7/CM002898.2; chromosome 15:NC_007126.7/CM002899.2; chromosome 16:NC_007127.7/CM002900.2; chromosome 17:NC_007128.7/CM002901.2; chromosome 18:NC_007129.7/CM002902.2; chromosome 19:NC_007130.7/CM002903.2; chromosome 20:NC_007131.7/CM002904.2; chromosome 21:NC_007132.7/CM002905.2; chromosome 22:NC_007133.7/CM002906.2; chromosome 23:NC_007134.7/CM002907.2; chromosome 24:NC_007135.7/CM002908.2; chromosome 25:NC_007136.7/CM002909.2; mitochondrion MT:NC_002333.2/,,2848,57100,2005-07-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/035/GCA_000002035.4_GRCz11,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/035/GCF_000002035.6_GRCz11,47394,,2018-01-25T00:00:00Z,8652,368,3,9671
31033,Eukaryota,Metazoa,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Takifugu,Takifugu rubripes,Fishes,,SAMEA104384834,PRJEB31988,GCA_901000725.2, Chromosome,384.127,45.6992,chromosome 1:NC_042285.1/LR584231.2; chromosome 2:NC_042286.1/LR584245.2; chromosome 3:NC_042287.1/LR584237.1; chromosome 4:NC_042288.1/LR584242.2; chromosome 5:NC_042289.1/LR584247.1; chromosome 6:NC_042290.1/LR584250.1; chromosome 7:NC_042291.1/LR584238.1; chromosome 8:NC_042292.1/LR584234.2; chromosome 9:NC_042293.1/LR584246.2; chromosome 10:NC_042294.1/LR584251.2; chromosome 11:NC_042295.1/LR584241.1; chromosome 12:NC_042296.1/LR584248.2; chromosome 13:NC_042297.1/LR584232.1; chromosome 14:NC_042298.1/LR584244.1; chromosome 15:NC_042299.1/LR584240.2; chromosome 16:NC_042300.1/LR584249.2; chromosome 17:NC_042301.1/LR584239.2; chromosome 18:NC_042302.1/LR584252.2; chromosome 19:NC_042303.1/LR584235.1; chromosome 20:NC_042304.1/LR584236.2; chromosome 21:NC_042305.1/LR584233.2; chromosome 22:NC_042306.1/LR584243.1; mitochondrion MT:NC_004299.1/,CAAJGN02,128,46760,2019-04-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/901/000/725/GCA_901000725.2_fTakRub1.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/901/000/725/GCF_901000725.2_fTakRub1.2,27437,,2021-04-23T00:00:00Z,6625,546,237,718
10116,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Rattus,Rattus norvegicus,Mammals,BN/NHsdMcwi,SAMN16261960,PRJNA677964,GCA_015227675.2, Chromosome,2647.92,42.0588,chromosome 1:NC_051336.1/CM026974.1; chromosome 2:NC_051337.1/CM026975.1; chromosome 3:NC_051338.1/CM026976.1; chromosome 4:NC_051339.1/CM026977.1; chromosome 5:NC_051340.1/CM026978.1; chromosome 6:NC_051341.1/CM026979.1; chromosome 7:NC_051342.1/CM026980.1; chromosome 8:NC_051343.1/CM026981.1; chromosome 9:NC_051344.1/CM026982.1; chromosome 10:NC_051345.1/CM026983.1; chromosome 11:NC_051346.1/CM026984.1; chromosome 12:NC_051347.1/CM026985.1; chromosome 13:NC_051348.1/CM026986.1; chromosome 14:NC_051349.1/CM026987.1; chromosome 15:NC_051350.1/CM026988.1; chromosome 16:NC_051351.1/CM026989.1; chromosome 17:NC_051352.1/CM026990.1; chromosome 18:NC_051353.1/CM026991.1; chromosome 19:NC_051354.1/CM026992.1; chromosome 20:NC_051355.1/CM026993.1; chromosome X:NC_051356.1/CM026994.1; chromosome Y:NC_051357.1/CM026995.1; mitochondrion MT:AY172581.1,JACYVU01,176,74754,2020-11-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/227/675/GCA_015227675.2_mRatBN7.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/227/675/GCF_015227675.2_mRatBN7.2,42142,,2020-12-02T00:00:00Z,25038,7966,139,737
7739,Eukaryota,Metazoa,Chordata,Leptocardii,Amphioxiformes,Branchiostomidae,Branchiostoma,Branchiostoma floridae,Other Animals,S238N-H82,SAMN02953694,PRJNA20249,GCA_000003815.2, Chromosome,513.461,41.7036,chromosome 1:NC_049979.1/CM022886.1; chromosome 2:NC_049980.1/CM022887.1; chromosome 3:NC_049981.1/CM022888.1; chromosome 4:NC_049982.1/CM022889.1; chromosome 5:NC_049983.1/CM022890.1; chromosome 6:NC_049984.1/CM022891.1; chromosome 7:NC_049985.1/CM022892.1; chromosome 8:NC_049986.1/CM022893.1; chromosome 9:NC_049987.1/CM022894.1; chromosome 10:NC_049988.1/CM022895.1; chromosome 11:NC_049989.1/CM022896.1; chromosome 12:NC_049990.1/CM022897.1; chromosome 13:NC_049991.1/CM022898.1; chromosome 14:NC_049992.1/CM022899.1; chromosome 15:NC_049993.1/CM022900.1; chromosome 16:NC_049994.1/CM022901.1; chromosome 17:NC_049995.1/CM022902.1; chromosome 18:NC_049996.1/CM022903.1; chromosome 19:NC_049997.1/CM022904.1; mitochondrion MT:NC_000834.1/,ABEP03,432,43041,2008-04-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/003/815/GCA_000003815.2_Bfl_VNyyK,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/815/GCF_000003815.2_Bfl_VNyyK,29881,,2020-04-29T00:00:00Z,3512,126,29,439
7091,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Bombycidae,Bombyx,Bombyx mori,Insects,p50T,SAMD00054089,PRJDB4947,GCA_014905235.2, Chromosome,460.35,38.5538,chromosome 1:NC_051358.1/BHWX01000001.1; chromosome 2:NC_051359.1/BHWX01000002.1; chromosome 3:NC_051360.1/BHWX01000003.1; chromosome 4:NC_051361.1/BHWX01000004.1; chromosome 5:NC_051362.1/BHWX01000005.1; chromosome 6:NC_051363.1/BHWX01000006.1; chromosome 7:NC_051364.1/BHWX01000007.1; chromosome 8:NC_051365.1/BHWX01000008.1; chromosome 9:NC_051366.1/BHWX01000009.1; chromosome 10:NC_051367.1/BHWX01000010.1; chromosome 11:NC_051368.1/BHWX01000011.1; chromosome 12:NC_051369.1/BHWX01000012.1; chromosome 13:NC_051370.1/BHWX01000013.1; chromosome 14:NC_051371.1/BHWX01000014.1; chromosome 15:NC_051372.1/BHWX01000015.1; chromosome 16:NC_051373.1/BHWX01000016.1; chromosome 17:NC_051374.1/BHWX01000017.1; chromosome 18:NC_051375.1/BHWX01000018.1; chromosome 19:NC_051376.1/BHWX01000019.1; chromosome 20:NC_051377.1/BHWX01000020.1; chromosome 21:NC_051378.1/BHWX01000021.1; chromosome 22:NC_051379.1/BHWX01000022.1; chromosome 23:NC_051380.1/BHWX01000023.1; chromosome 24:NC_051381.1/BHWX01000024.1; chromosome 25:NC_051382.1/BHWX01000025.1; chromosome 26:NC_051383.1/BHWX01000026.1; chromosome 27:NC_051384.1/BHWX01000027.1; chromosome 28:NC_051385.1/BHWX01000028.1; mitochondrion MT:NC_002355.1/,BHWX01,697,27309,2020-10-13T21:24:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/905/235/GCA_014905235.2_Bmori_2016v1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/905/235/GCF_014905235.1_Bmori_2016v1.0,17072,,2020-11-06T00:00:00Z,3856,376,156,433
13443,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Gentianales,Rubiaceae,Coffea,Coffea arabica,Land Plants,CCC135-36,SAMN10272287,PRJNA506972,GCA_003713225.1, Chromosome,1094.45,36.9585,chromosome 1c:NC_039898.1/CM011106.1; chromosome 1e:NC_039899.1/CM011107.1; chromosome 2c:NC_039900.1/CM011108.1; chromosome 2e:NC_039901.1/CM011109.1; chromosome 3c:NC_039902.1/CM011110.1; chromosome 3e:NC_039903.1/CM011111.1; chromosome 4c:NC_039904.1/CM011112.1; chromosome 4e:NC_039905.1/CM011113.1; chromosome 5e:NC_039906.1/CM011115.1; chromosome 5c:NC_039907.1/CM011114.1; chromosome 6c:NC_039908.1/CM011116.1; chromosome 6e:NC_039909.1/CM011117.1; chromosome 7c:NC_039910.1/CM011118.1; chromosome 7e:NC_039911.1/CM011119.1; chromosome 8e:NC_039912.1/CM011121.1; chromosome 8c:NC_039913.1/CM011120.1; chromosome 9c:NC_039914.1/CM011122.1; chromosome 9e:NC_039915.1/CM011123.1; chromosome 10e:NC_039916.1/CM011103.1; chromosome 10c:NC_039917.1/CM011102.1; chromosome 11c:NC_039918.1/CM011104.1; chromosome 11e:NC_039919.1/CM011105.1; chloroplast Pltd:NC_008535.1/,RHJU01,2833,67222,2018-11-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/713/225/GCA_003713225.1_Cara_1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/713/225/GCF_003713225.1_Cara_1.0,56902,,2018-11-08T00:00:00Z,11887,4561,1651,764
9685,Eukaryota,Metazoa,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,Mammals,Fca126,SAMN19729387,PRJNA773801,GCA_018350175.1, Chromosome,2425.75,41.8091,chromosome A1:NC_058368.1/CM031412.1; chromosome A2:NC_058369.1/CM031413.1; chromosome A3:NC_058370.1/CM031414.1; chromosome B1:NC_058371.1/CM031415.1; chromosome B2:NC_058372.1/CM031416.1; chromosome B3:NC_058373.1/CM031417.1; chromosome B4:NC_058374.1/CM031418.1; chromosome C1:NC_058375.1/CM031419.1; chromosome C2:NC_058376.1/CM031420.1; chromosome D1:NC_058377.1/CM031421.1; chromosome D2:NC_058378.1/CM031422.1; chromosome D3:NC_058379.1/CM031423.1; chromosome D4:NC_058380.1/CM031424.1; chromosome E1:NC_058381.1/CM031425.1; chromosome E2:NC_058382.1/CM031426.1; chromosome E3:NC_058383.1/CM031427.1; chromosome F1:NC_058384.1/CM031428.1; chromosome F2:NC_058385.1/CM031429.1; chromosome X:NC_058386.1/CM031411.1; mitochondrion MT:NC_001700.1/,JAFEKA01,71,71463,2021-05-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/350/175/GCA_018350175.1_F.catus_Fca126_mat1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/350/175/GCF_018350175.1_F.catus_Fca126_mat1.0,39307,,2021-10-18T00:00:00Z,27730,3620,44,763
8364,Eukaryota,Metazoa,Chordata,Amphibia,Anura,Pipidae,Xenopus,Xenopus tropicalis,Amphibians,Nigerian,SAMN13041969,PRJNA577946,GCA_000004195.4, Chromosome,1451.3,40.7533,chromosome 1:NC_030677.2/CM004443.2; chromosome 2:NC_030678.2/CM004444.2; chromosome 3:NC_030679.2/CM004445.2; chromosome 4:NC_030680.2/CM004446.2; chromosome 5:NC_030681.2/CM004447.2; chromosome 6:NC_030682.2/CM004448.2; chromosome 7:NC_030683.2/CM004449.2; chromosome 8:NC_030684.2/CM004450.2; chromosome 9:NC_030685.2/CM004451.2; chromosome 10:NC_030686.2/CM004452.2; mitochondrion MT:NC_006839.1/,AAMC04,167,45099,2009-11-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/004/195/GCA_000004195.4_UCB_Xtro_10.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/195/GCF_000004195.4_UCB_Xtro_10.0,28888,,2019-11-14T00:00:00Z,5218,571,465,2388
